descriptor,label,value
GMT,Africa/Abidjan,0
GMT+03:00,Africa/Addis Ababa,3
GMT+01:00,Africa/Algiers,1
GMT+02:00,Africa/Blantyre,2
GMT+02:00,Africa/Cairo,2
GMT+01:00,Africa/Windhoek,1
GMT-10:00,America/Adak,-10
GMT-09:00,America/Anchorage,-9
GMT-03:00,America/Araguaina,-3
GMT-03:00,America/Argentina/Buenos Aires,-3
GMT-06:00,America/Belize,-6
GMT-05:00,America/Bogota,-5
GMT-04:00,America/Campo Grande,-4
GMT-06:00,America/Cancun,-6
GMT-04:30,America/Caracas,-4.5
GMT-06:00,America/Chicago,-6
GMT-07:00,America/Chihuahua,-7
GMT-08:00,America/Dawson Creek,-8
GMT-07:00,America/Denver,-7
GMT-08:00,America/Ensenada,-8
GMT-04:00,America/Glace Bay,-4
GMT-03:00,America/Godthab,-3
GMT-04:00,America/Goose Bay,-4
GMT-05:00,America/Havana,-5
GMT-04:00,America/La Paz,-4
GMT-08:00,America/Los Angeles,-8
GMT-03:00,America/Miquelon,-3
GMT-03:00,America/Montevideo,-3
GMT-05:00,America/New York,-5
GMT-02:00,America/Noronha,-2
GMT-04:00,America/Santiago,-4
GMT-03:00,America/Sao Paulo,-3
GMT-03:30,America/St Johns,-3.5
GMT+12:00,Asia/Anadyr,12
GMT+07:00,Asia/Bangkok,7
GMT+02:00,Asia/Beirut,2
GMT+02:00,Asia/Damascus,2
GMT+06:00,Asia/Dhaka,6
GMT+04:00,Asia/Dubai,4
GMT+02:00,Asia/Gaza,2
GMT+08:00,Asia/Hong Kong,8
GMT+09:00,Asia/Irkutsk,9
GMT+02:00,Asia/Jerusalem,2
GMT+04:30,Asia/Kabul,4.5
GMT+05:45,Asia/Katmandu,5.75
GMT+05:30,Asia/Kolkata,5.5
GMT+08:00,Asia/Krasnoyarsk,8
GMT+12:00,Asia/Magadan,12
GMT+07:00,Asia/Novosibirsk,7
GMT+06:30,Asia/Rangoon,6.5
GMT+03:00,Asia/Riyadh89,3
GMT+09:00,Asia/Seoul,9
GMT+05:00,Asia/Tashkent,5
GMT+03:30,Asia/Tehran,3.5
GMT+09:00,Asia/Tokyo,9
GMT+11:00,Asia/Vladivostok,11
GMT+10:00,Asia/Yakutsk,10
GMT+06:00,Asia/Yekaterinburg,6
GMT+04:00,Asia/Yerevan,4
GMT+01:00,Atlantic/Azores,1
GMT-01:00,Atlantic/Cape Verde,-1
GMT+01:00,Atlantic/Stanley,1
GMT+09:30,Australia/Adelaide,9.5
GMT+10:00,Australia/Brisbane,10
GMT+09:30,Australia/Darwin,9.5
GMT+08:45,Australia/Eucla,8.75
GMT+10:00,Australia/Hobart,10
GMT+10:30,Australia/Lord Howe,10.5
GMT+08:00,Australia/Perth,8
GMT-06:00,Chile/EasterIsland,-6
GMT+10:00,Etc/GMT+10,10
GMT+12:00,Etc/GMT+12,12
GMT+08:00,Etc/GMT+8,8
GMT-11:00,Etc/GMT-11,-11
GMT-12:00,Etc/GMT-12,-12
GMT+01:00,Europe/Amsterdam,1
GMT,Europe/Belfast,0
GMT+01:00,Europe/Belgrade,1
GMT+01:00,Europe/Brussels,1
GMT,Europe/Dublin,0
GMT,Europe/Lisbon,0
0,Europe/London,0
GMT+03:00,Europe/Minsk,3
GMT+04:00,Europe/Moscow,4
GMT+12:00,Pacific/Auckland,12
GMT+12:45,Pacific/Chatham,12.75
GMT-09:00,Pacific/Gambier,-9
GMT+14:00,Pacific/Kiritimati,14
GMT+09:30,Pacific/Marquesas,9.5
GMT-11:00,Pacific/Midway,-11
GMT+11:30,Pacific/Norfolk,11.5
GMT+13:00,Pacific/Tongatapu,13
UTC,UTC,0
